Eurocode 3 (in accordance with the UK National Annex) (BS EN 10056-1: 2017),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Equal leg angles (L), Section properties",,,,,,,,,,,,,,,,
Dimensions & properties,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Section designation,,,Dimensions and properties,,,,,,,,,,,,,
Size,Thickness,,Mass per metre,Radius,,Distance to centroid,Second moment of area,,,Radius of gyration,,,Elastic modulus,Torsional constant,Equivalent slenderness coefficient,Area of section
,,,,Root,Toe,,"Axis y-y, z-z",Axis u-u,Axis v-v,"Axis y-y, z-z",Axis u-u,Axis v-v,"Axis y-y, z-z",,,
h x h,t,,,r1,r2,c,,,,,,,,IT,?a,
mm,mm,,kg/m,mm,mm,cm,cm4,cm4,cm4,cm,cm,cm,cm3,cm4, ,cm2
200x200,24.0,,71.1,18.0,9.00,5.84,3330,5280,1380,6.06,7.64,3.90,235,182,2.50,90.6
,20.0,,59.9,18.0,9.00,5.68,2850,4530,1170,6.11,7.70,3.92,199,107,3.05,76.3
,18.0,,54.3,18.0,9.00,5.60,2600,4150,1050,6.13,7.75,3.90,181,78.9,3.43,69.1
,16.0,,48.5,18.0,9.00,5.52,2340,3720,960,6.16,7.76,3.94,162,56.1,3.85,61.8
150x150,18.0,+,40.1,16.0,8.00,4.38,1060,1680,440,4.55,5.73,2.93,99.8,58.6,2.48,51.2
,15.0,,33.8,16.0,8.00,4.25,898,1430,370,4.57,5.76,2.93,83.5,34.6,3.01,43.0
,12.0,,27.3,16.0,8.00,4.12,737,1170,303,4.60,5.80,2.95,67.7,18.2,3.77,34.8
,10.0,,23.0,16.0,8.00,4.03,624,990,258,4.62,5.82,2.97,56.9,10.8,4.51,29.3
120x120,15.0,+,26.6,13.0,6.50,3.52,448,710,186,3.63,4.57,2.34,52.8,27.0,2.37,34.0
,12.0,,21.6,13.0,6.50,3.40,368,584,152,3.65,4.60,2.35,42.7,14.2,2.99,27.5
,10.0,,18.2,13.0,6.50,3.31,313,497,129,3.67,4.63,2.36,36.0,8.41,3.61,23.2
,8.0,+,14.7,13.0,6.50,3.24,259,411,107,3.71,4.67,2.38,29.5,4.44,4.56,18.8
100x100,15.0,+,21.9,12.0,6.00,3.02,250,395,105,2.99,3.76,1.94,35.8,22.3,1.92,28.0
,12.0,,17.8,12.0,6.00,2.90,207,328,85.7,3.02,3.80,1.94,29.1,11.8,2.44,22.7
