Eurocode 3 (in accordance with the UK National Annex) (BS EN 10365: 2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parallel flange channels (PFC), Section properties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimensions & properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section designation,,,Dimensions,,,,,,,,,,,,,,,Properties,,,,,,,,,,,,
,,,Mass per metre,Depth of section,Width of section,Thickness,,Root radius,Depth between fillets,Ratios for local buckling,,Distance,Dimensions for detailing,,,Surface area,,Second moment of area,,Radius of gyration,,Elastic modulus,,Plastic modulus,,Buckling parameter,Torsional index,Warping constant,Torsional constant,Area of section
,,,,,,Web,Flange,,,Web,Flange,,End clearance,Notch,,Per metre,Per tonne,Axis y-y,Axis z-z,Axis y-y,Axis z-z,Axis y-y,Axis z-z,Axis y-y,Axis z-z,,,,,
,,,,h,b,tw,tf,r,d,cw / tw,cf / tf,e0,C,N,n,,,,,,,,,,,U,X,Iw,IT,A
,,,kg/m,mm,mm,mm,mm,mm,mm,,,cm,mm,mm,mm,m2,m2,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,,,dm6,cm4,cm2
430x100,x64,,64.4,430,100,11.0,19.0,15,362,32.9,3.89,3.27,13,96,34,1.23,19.1,21900,722,16.3,2.97,1020,97.9,1220,176,0.916,22.5,0.219,63.0,82.1
380x100,x54,,54.0,380,100,9.5,17.5,15,315,33.2,4.31,3.48,12,98,34,1.13,20.9,15000,643,14.8,3.06,791,89.2,933,161,0.933,21.2,0.150,45.7,68.7
300x100,x46,,45.5,300,100,9.0,16.5,15,237,26.3,4.61,3.67,11,98,32,0.969,21.3,8230,568,11.9,3.13,549,81.7,641,148,0.944,17.0,0.0813,36.8,58.0
300x90,x41,,41.4,300,90,9.0,15.5,12,245,27.2,4.45,3.18,11,88,28,0.932,22.5,7220,404,11.7,2.77,481,63.1,568,114,0.934,18.3,0.0581,28.8,52.7
260x90,x35,,34.8,260,90,8.0,14.0,12,208,26.0,5.00,3.31,10,88,26,0.854,24.5,4730,353,10.3,2.82,364,56.3,425,102,0.943,17.2,0.0379,20.6,44.4
260x75,x28,,27.6,260,75,7.0,12.0,12,212,30.3,4.67,2.61,9,74,24,0.796,28.8,3620,185,10.1,2.30,278,34.4,328,62,0.932,20.5,0.0203,11.7,35.1
230x90,x32,,32.2,230,90,7.5,14.0,12,178,23.7,5.04,3.45,10,90,26,0.795,24.7,3520,334,9.27,2.86,306,55,355,98.9,0.949,15.1,0.0279,19.3,41.0
230x75,x26,,25.7,230,75,6.5,12.5,12,181,27.8,4.52,2.77,9,76,26,0.737,28.7,2750,181,9.17,2.35,239,34.8,278,63.2,0.945,17.3,0.0153,11.8,32.7
200x90,x30,,29.7,200,90,7.0,14.0,12,148,21.1,5.07,3.60,9,90,26,0.736,24.8,2520,314,8.16,2.88,252,53.4,291,94.5,0.952,12.9,0.0197,18.3,37.9
200x75,x23,,23.4,200,75,6.0,12.5,12,151,25.2,4.56,2.91,8,76,26,0.678,29.0,1960,170,8.11,2.39,196,33.8,227,60.6,0.956,14.7,0.0107,11.1,29.9
180x90,x26,,26.1,180,90,6.5,12.5,12,131,20.2,5.72,3.63,9,90,26,0.697,26.7,1820,277,7.40,2.89,202,47.4,232,83.5,0.950,12.8,0.0141,13.3,33.2
180x75,x20,,20.3,180,75,6.0,10.5,12,135,22.5,5.43,2.85,8,76,24,0.638,31.4,1370,146,7.27,2.38,152,28.8,176,51.8,0.945,15.3,0.00754,7.34,25.9
150x90,x24,,23.9,150,90,6.5,12.0,12,102,15.7,5.96,3.71,9,90,24,0.637,26.7,1160,253,6.18,2.89,155,44.4,179,76.9,0.937,10.8,0.00890,11.8,30.4
150x75,x18,,17.9,150,75,5.5,10.0,12,106,19.3,5.75,2.97,8,76,22,0.579,32.3,861,131,6.15,2.40,115,26.6,132,47.2,0.945,13.1,0.00467,6.10,22.8
125x65,x15,,14.8,125,65,5.5,9.5,12,82.0,14.9,5.00,2.54,8,66,22,0.489,33.0,483,80,5.07,2.06,77.3,18.8,89.9,33.2,0.942,11.1,0.00194,4.72,18.8
100x50,x10,,10.2,100,50,5.0,8.5,9,65.0,13.0,4.24,1.93,7,52,18,0.382,37.5,208,32.3,4.00,1.58,41.5,9.89,48.9,17.5,0.942,10.00,0.000491,2.53,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0 Is the distance from the centre of the web to the shear centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was downloaded from the Steel for Life Blue Book website (http://www.steelforlifebluebook.co.uk/pfc/ec3-ukna/section-properties-dimensions-properties/) on 28/05/2026 at 10:36:08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© 2026, SCI. This data is subject to the same terms as defined by the Steel for Life Blue Book website (http://www.steelforlifebluebook.co.uk/about/)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
