Eurocode 3 (in accordance with the UK National Annex) (BS EN 10210-2: 2006),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Hot-Finished Rectangular Hollow Sections, Section properties",,,,,,,,,,,,,,,,,,
Dimensions & properties,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Section designation,,,Dimensions and properties,,,,,,,,,,,,,,,
Size,Thickness,,Mass per metre,Area of section,Ratio for local buckling,,Second moment of area,,Radius of gyration,,Elastic modulus,,Plastic modulus,,Torsional constants,,Surface area,
,,,,,,,Axis y-y,Axis z-z,Axis y-y,Axis z-z,Axis y-y,Axis z-z,Axis y-y,Axis z-z,,,Per metre,Per tonne
h x b,t,,,A,cw/t (1),cf/t (1),,,,,,,,,IT,Wt,,
mm,mm,,kg/m,cm2,,,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,cm4,cm3,m2,m2
50  x  30,3.2,,3.61,4.60,12.6,6.38,14.2,6.20,1.76,1.16,5.68,4.13,7.25,5.00,14.2,6.80,0.152,42.1
,3.6,,4.01,5.10,10.9,5.33,15.4,6.67,1.74,1.14,6.16,4.45,7.94,5.46,15.4,7.31,0.151,37.7
,4.0,,4.39,5.59,9.50,4.50,16.5,7.08,1.72,1.13,6.60,4.72,8.59,5.88,16.6,7.77,0.150,34.2
,5.0,,5.28,6.73,7.00,3.00,18.7,7.89,1.67,1.08,7.49,5.26,10.0,6.80,19.0,8.67,0.147,27.8
,6.3,,6.33,8.07,4.94,1.76,20.6,8.50,1.60,1.03,8.26,5.66,11.5,7.68,21.1,9.36,0.144,22.7
60  x  40,3.2,,4.62,5.88,15.8,9.50,27.8,14.6,2.18,1.57,9.27,7.29,11.5,8.64,30.8,11.7,0.192,41.6
,3.6,,5.14,6.54,13.7,8.11,30.4,15.9,2.16,1.56,10.1,7.93,12.7,9.50,33.8,12.8,0.191,37.2
,4.0,,5.64,7.19,12.0,7.00,32.8,17.0,2.14,1.54,10.9,8.52,13.8,10.3,36.7,13.7,0.190,33.7
,5.0,,6.85,8.73,9.00,5.00,38.1,19.5,2.09,1.50,12.7,9.77,16.4,12.2,43.0,15.7,0.187,27.3
,6.3,,8.31,10.6,6.52,3.35,43.4,21.9,2.02,1.44,14.5,11.0,19.2,14.2,49.5,17.6,0.184,22.1
,8.0,,10.0,12.8,4.50,2.00,47.9,23.7,1.94,1.36,16.0,11.9,22.1,16.1,55.4,19.2,0.179,17.9
80  x  40,3.2,,5.62,7.16,22.0,9.50,57.2,18.9,2.83,1.63,14.3,9.46,18.0,11.0,46.2,16.1,0.232,41.3
,3.6,,6.27,7.98,19.2,8.11,62.8,20.6,2.81,1.61,15.7,10.3,20.0,12.1,50.8,17.5,0.231,36.8
,4.0,,6.90,8.79,17.0,7.00,68.2,22.2,2.79,1.59,17.1,11.1,21.8,13.2,55.2,18.9,0.230,33.3
,5.0,,8.42,10.7,13.0,5.00,80.3,25.7,2.74,1.55,20.1,12.9,26.1,15.7,65.1,21.9,0.227,27.0
,6.3,,10.3,13.1,9.70,3.35,93.3,29.2,2.67,1.49,23.3,14.6,31.1,18.4,75.6,24.8,0.224,21.7
,8.0,,12.5,16.0,7.00,2.00,106,32.1,2.58,1.42,26.5,16.1,36.5,21.2,85.8,27.4,0.219,17.5
