Eurocode 3 (in accordance with the UK National Annex) (BS EN 10210-2: 2006),,,,,,,,,,,,,
,,,,,,,,,,,,,
"Hot-Finished Square Hollow Sections, Section properties",,,,,,,,,,,,,
Dimensions & properties,,,,,,,,,,,,,
,,,,,,,,,,,,,
Section designation,,,Dimensions and properties,,,,,,,,,,
Size,Thickness,,Mass per metre,Area of section,Ratio for local buckling,Second moment of area,Radius of gyration,Elastic modulus,Plastic modulus,Torsional constants,,Surface area,
,,,,,,,,,,,,Per metre,Per tonne
h x h,t,,,A,c/t (1),I,i,Wel,Wpl,IT,Wt,,
mm,mm,,kg/m,cm2,,cm4,cm,cm3,cm3,cm4,cm3,m2,m2
40  x  40,3.2,,3.61,4.60,9.50,10.2,1.49,5.11,6.28,16.5,7.42,0.152,42.1
,3.6,,4.01,5.10,8.11,11.1,1.47,5.54,6.88,18.1,8.01,0.151,37.7
,4.0,,4.39,5.59,7.00,11.8,1.45,5.91,7.44,19.5,8.54,0.150,34.2
,5.0,,5.28,6.73,5.00,13.4,1.41,6.68,8.66,22.5,9.60,0.147,27.8
,6.3,,6.33,8.07,3.35,14.7,1.35,7.34,9.90,25.4,10.5,0.144,22.7
50  x  50,3.2,,4.62,5.88,12.6,21.2,1.90,8.49,10.2,33.8,12.4,0.192,41.6
,3.6,,5.14,6.54,10.9,23.2,1.88,9.27,11.3,37.2,13.5,0.191,37.2
,4.0,,5.64,7.19,9.50,25.0,1.86,9.99,12.3,40.4,14.5,0.190,33.7
,5.0,,6.85,8.73,7.00,28.9,1.82,11.6,14.5,47.6,16.7,0.187,27.3
,6.3,,8.31,10.6,4.94,32.8,1.76,13.1,17.0,55.2,18.8,0.184,22.1
,8.0,,10.0,12.8,3.25,36.0,1.68,14.4,19.5,62.3,20.6,0.179,17.9
60  x  60,3.2,,5.62,7.16,15.8,38.2,2.31,12.7,15.2,60.2,18.6,0.232,41.3
,3.6,,6.27,7.98,13.7,41.9,2.29,14.0,16.8,66.5,20.4,0.231,36.8
,4.0,,6.90,8.79,12.0,45.4,2.27,15.1,18.3,72.5,22.0,0.230,33.3
,5.0,,8.42,10.7,9.00,53.3,2.23,17.8,21.9,86.4,25.7,0.227,27.0
,6.3,,10.3,13.1,6.52,61.6,2.17,20.5,26.0,102,29.6,0.224,21.7
,8.0,,12.5,16.0,4.50,69.7,2.09,23.2,30.4,118,33.4,0.219,17.5
70  x  70,3.2,,6.63,8.44,18.9,62.3,2.72,17.8,21.0,97.6,26.1,0.272,41.0
,3.6,,7.40,9.42,16.4,68.6,2.70,19.6,23.3,108,28.7,0.271,36.6
,4.0,,8.15,10.4,14.5,74.7,2.68,21.3,25.5,118,31.2,0.270,33.1
,5.0,,9.99,12.7,11.0,88.5,2.64,25.3,30.8,142,36.8,0.267,26.7
,6.3,,12.3,15.6,8.11,104,2.58,29.7,36.9,169,42.9,0.264,21.5
,8.0,,15.0,19.2,5.75,120,2.50,34.2,43.8,200,49.2,0.259,17.3
,10.0,,18.0,22.9,4.00,133,2.41,38.0,50.3,227,54.4,0.254,14.1
80  x  80,3.2,,7.63,9.72,22.0,95.0,3.13,23.7,27.9,148,34.9,0.312,40.9
,3.6,,8.53,10.9,19.2,105,3.11,26.2,31.0,164,38.5,0.311,36.5
,4.0,,9.41,12.0,17.0,114,3.09,28.6,34.0,180,41.9,0.310,32.9
,5.0,,11.6,14.7,13.0,137,3.05,34.2,41.1,217,49.8,0.307,26.5
,6.3,,14.2,18.1,9.70,162,2.99,40.5,49.7,262,58.7,0.304,21.4
,8.0,,17.5,22.4,7.00,189,2.91,47.3,59.5,312,68.3,0.299,17.1
,10.0,,21.1,26.9,5.00,214,2.82,53.5,69.3,360,76.8,0.294,13.9
90  x  90,3.6,,9.66,12.3,22.0,152,3.52,33.8,39.7,237,49.7,0.351,36.3
,4.0,,10.7,13.6,19.5,166,3.50,37.0,43.6,260,54.2,0.350,32.7
,5.0,,13.1,16.7,15.0,200,3.45,44.4,53.0,316,64.8,0.347,26.5
,6.3,,16.2,20.7,11.3,238,3.40,53.0,64.3,382,77.0,0.344,21.2
,8.0,,20.1,25.6,8.25,281,3.32,62.6,77.6,459,90.5,0.339,16.9
,10.0,,24.3,30.9,6.00,322,3.23,71.6,91.3,536,103,0.334,13.7
100  x  100,3.6,,10.8,13.7,24.8,212,3.92,42.3,49.5,328,62.3,0.391,36.2
,4.0,,11.9,15.2,22.0,232,3.91,46.4,54.4,361,68.2,0.390,32.8
,5.0,,14.7,18.7,17.0,279,3.86,55.9,66.4,439,81.8,0.387,26.3
,6.3,,18.2,23.2,12.9,336,3.80,67.1,80.9,534,97.8,0.384,21.1
,8.0,,22.6,28.8,9.50,400,3.73,79.9,98.2,646,116,0.379,16.8
,10.0,,27.4,34.9,7.00,462,3.64,92.4,116,761,133,0.374,13.6
120  x  120,4.0,,14.4,18.4,27.0,410,4.72,68.4,79.7,635,101,0.470,32.6
,5.0,,17.8,22.7,21.0,498,4.68,83.0,97.6,777,122,0.467,26.2
,6.3,,22.2,28.2,16.0,603,4.62,100,120,950,147,0.464,20.9
,8.0,,27.6,35.2,12.0,726,4.55,121,146,1160,176,0.459,16.6
,10.0,,33.7,42.9,9.00,852,4.46,142,175,1380,206,0.454,13.5
,12.5,,40.9,52.1,6.60,982,4.34,164,207,1620,236,0.448,11.0
140  x  140,5.0,,21.0,26.7,25.0,807,5.50,115,135,1250,170,0.547,26.0
,6.3,,26.1,33.3,19.2,984,5.44,141,166,1540,206,0.544,20.8
,8.0,,32.6,41.6,14.5,1200,5.36,171,204,1890,249,0.539,16.5
,10.0,,40.0,50.9,11.0,1420,5.27,202,246,2270,294,0.534,13.4
,12.5,,48.7,62.1,8.20,1650,5.16,236,293,2700,342,0.528,10.8
,14.2,,54.4,69.3,6.86,1790,5.08,256,322,2950,369,0.523,9.61
,16.0,,60.1,76.6,5.75,1920,5.00,274,350,3200,394,0.519,8.64
150  x  150,4.0,,18.2,23.2,34.5,821,5.95,109,127,1260,162,0.590,32.4
,5.0,,22.6,28.7,27.0,1000,5.90,134,156,1550,197,0.587,26.0
,6.3,,28.1,35.8,20.8,1220,5.85,163,192,1910,240,0.584,20.8
,8.0,,35.1,44.8,15.8,1490,5.77,199,237,2350,291,0.579,16.5
,10.0,,43.1,54.9,12.0,1770,5.68,236,286,2830,344,0.574,13.3
,12.5,,52.7,67.1,9.00,2080,5.57,277,342,3380,402,0.568,10.8
,14.2,,58.9,75.0,7.56,2260,5.49,302,377,3710,436,0.563,9.56
,16.0,,65.2,83.0,6.38,2430,5.41,324,411,4030,467,0.559,8.57
160  x  160,5.0,,24.1,30.7,29.0,1220,6.31,153,178,1890,226,0.627,26.0
,6.3,,30.1,38.3,22.4,1500,6.26,187,220,2330,275,0.624,20.7
,8.0,,37.6,48.0,17.0,1830,6.18,229,272,2880,335,0.619,16.5
,10.0,,46.3,58.9,13.0,2190,6.09,273,329,3480,398,0.614,13.3
,12.5,,56.6,72.1,9.80,2580,5.98,322,395,4160,467,0.608,10.7
,14.2,,63.3,80.7,8.27,2810,5.90,351,436,4580,508,0.603,9.53
,16.0,,70.2,89.4,7.00,3030,5.82,379,476,4990,546,0.599,8.53
180  x  180,6.3,,34.0,43.3,25.6,2170,7.07,241,281,3360,355,0.704,20.7
,8.0,,42.7,54.4,19.5,2660,7.00,296,349,4160,434,0.699,16.4
,10.0,,52.5,66.9,15.0,3190,6.91,355,424,5050,518,0.694,13.2
,12.5,,64.4,82.1,11.4,3790,6.80,421,511,6070,613,0.688,10.7
,14.2,,72.2,92.0,9.68,4150,6.72,462,566,6710,670,0.683,9.46
,16.0,,80.2,102,8.25,4500,6.64,500,621,7340,724,0.679,8.47
200  x  200,5.0,,30.4,38.7,37.0,2440,7.95,245,283,3760,362,0.787,25.9
,6.3,,38.0,48.4,28.7,3010,7.89,301,350,4650,444,0.784,20.6
,8.0,,47.7,60.8,22.0,3710,7.81,371,436,5780,545,0.779,16.3
,10.0,,58.8,74.9,17.0,4470,7.72,447,531,7030,655,0.774,13.2
,12.5,,72.3,92.1,13.0,5340,7.61,534,643,8490,778,0.768,10.6
,14.2,,81.1,103,11.1,5870,7.54,587,714,9420,854,0.763,9.41
,16.0,,90.3,115,9.50,6390,7.46,639,785,10300,927,0.759,8.41
